slot,pkts_sent,pkts_received,pkts_lost,too_late,loss_flag
1,95618,0,95618,0,1
2,63306,0,63306,0,1
3,58888,0,58888,0,1
4,111143,0,111143,0,1
5,56962,0,56962,0,1
6,85284,0,85284,0,1
7,130985,0,130985,0,1
8,89658,0,89658,0,1
9,56660,0,56660,0,1
10,71904,0,71904,0,1
11,92732,0,92732,0,1
12,52052,0,52052,0,1
13,53708,0,53708,0,1
14,67950,0,67950,0,1
15,93457,0,93457,0,1
16,92772,0,92772,0,1
17,50242,0,50242,0,1
18,99526,0,99526,0,1
19,72503,0,72503,0,1
20,55181,0,55181,0,1
21,66180,0,66180,0,1
22,66746,0,66746,0,1
23,83190,0,83190,0,1
24,73859,0,73859,0,1
25,33688,0,33688,0,1
26,110592,0,110592,0,1
27,56398,0,56398,0,1
28,86096,0,86096,0,1
29,85880,0,85880,0,1
30,107800,0,107800,0,1
31,72678,0,72678,0,1
32,60558,0,60558,0,1
33,90794,0,90794,0,1
34,113115,0,113115,0,1
35,27292,0,27292,0,1
36,105964,0,105964,0,1
37,142018,0,142018,0,1
38,70112,0,70112,0,1
39,47126,0,47126,0,1
40,112494,0,112494,0,1
41,60280,0,60280,0,1
42,36174,0,36174,0,1
43,61904,0,61904,0,1
44,86808,0,86808,0,1
45,80072,0,80072,0,1
46,106934,0,106934,0,1
47,27472,0,27472,0,1
48,96102,0,96102,0,1
49,81565,0,81565,0,1
50,68560,0,68560,0,1
51,72448,0,72448,0,1
52,67278,0,67278,0,1
53,68626,0,68626,0,1
54,67681,0,67681,0,1
55,60924,0,60924,0,1
56,73784,0,73784,0,1
57,103858,0,103858,0,1
58,58913,0,58913,0,1
59,79083,0,79083,0,1
60,13186,0,13186,0,1
