slot,bytes_sent,time_s,gbps
1,182264600,0.0005,2916.2336
2,257003600,0.001,4112.0576
3,231417200,0.0015,3702.6752
4,162075200,0.002,2593.2032
5,293669600,0.0025,4698.7136
6,198916200,0.003,3182.6592
7,265162800,0.0035,4242.6048
8,241530800,0.004,3864.4928
9,182551600,0.0045,2920.8256
10,503001800,0.005,8048.0288
11,366192400,0.0055,5859.0784
12,231799400,0.006,3708.7904
13,280602000,0.0065,4489.632
14,210908600,0.007,3374.5376
15,286592600,0.0075,4585.4816
16,281687000,0.008,4506.992
17,262970400,0.0085,4207.5264
18,261867200,0.009,4189.8752
19,181407800,0.0095,2902.5248
20,205623600,0.01,3289.9776
21,218332800,0.0105,3493.3248
22,279462400,0.011,4471.3984
23,292009200,0.0115,4672.1472
24,197383200,0.012,3158.1312
25,283082800,0.0125,4529.3248
26,237021400,0.013,3792.3424
27,158393200,0.0135,2534.2912
28,186522000,0.014,2984.352
29,232346800,0.0145,3717.5488
30,353007200,0.015,5648.1152
31,233475200,0.0155,3735.6032
32,232922200,0.016,3726.7552
33,243276600,0.0165,3892.4256
34,142643200,0.017,2282.2912
35,280795200,0.0175,4492.7232
36,182212800,0.018,2915.4048
37,253962800,0.0185,4063.4048
38,246468600,0.019,3943.4976
39,177543800,0.0195,2840.7008
40,477677200,0.02,7642.8352
41,346858400,0.0205,5549.7344
42,222870200,0.021,3565.9232
43,269371200,0.0215,4309.9392
44,204115800,0.022,3265.8528
45,279360200,0.0225,4469.7632
46,257378800,0.023,4118.0608
47,257776400,0.0235,4124.4224
48,250999000,0.024,4015.984
49,168800800,0.0245,2700.8128
50,197962800,0.025,3167.4048
51,217180600,0.0255,3474.8896
52,274584800,0.026,4393.3568
53,266736400,0.0265,4267.7824
54,188146000,0.027,3010.336
55,277874800,0.0275,4445.9968
56,241290000,0.028,3860.64
57,131807200,0.0285,2108.9152
58,179779600,0.029,2876.4736
59,236728800,0.0295,3787.6608
60,199729600,0.03,3195.6736
